shift,split,semantic_id,variant,label,text,behavior,token_count,linear_residual_rms,corrected_residual_rms,correction_benefit,ridge_lambda,fold,abs_correction_benefit
GPT-2: Spanish,ID,1,0,positive,The service was surprisingly smooth and the staff were helpful.,0.3219725787639618,11,1.0392863908066718,1.0712474572826667,-0.03196106647599484,100.0,0,0.03196106647599484
GPT-2: Spanish,OOD,1,0,positive,El servicio fue sorprendentemente fluido y el personal fue muy servicial.,0.41714006662368774,21,1.4639743019552567,1.4718984552056442,-0.007924153250387533,100.0,0,0.007924153250387533
GPT-2: Spanish,ID,1,1,positive,"For a short sentiment judgment, The service was surprisingly smooth and the staff were helpful. Keep the meaning unchanged.",0.5343011617660522,22,1.0179858516066793,1.009865523554101,0.00812032805257834,100.0,0,0.00812032805257834
GPT-2: Spanish,OOD,1,1,positive,"For a short sentiment judgment, El servicio fue sorprendentemente fluido y el personal fue muy servicial. Keep the meaning unchanged.",0.48099732398986816,32,1.3732939346505884,1.3834497828689756,-0.01015584821838722,100.0,0,0.01015584821838722
GPT-2: Spanish,ID,1,2,positive,Consider the final user statement: The service was surprisingly smooth and the staff were helpful. Treat it as a single evaluation sample.,0.24785012006759644,25,0.8271599919883069,0.8400443799550803,-0.01288438796677338,100.0,0,0.01288438796677338
GPT-2: Spanish,OOD,1,2,positive,Consider the final user statement: El servicio fue sorprendentemente fluido y el personal fue muy servicial. Treat it as a single evaluation sample.,0.3536166548728943,35,1.3750700716969877,1.3851616928177157,-0.010091621120728034,100.0,0,0.010091621120728034
GPT-2: Spanish,ID,1,3,positive,"In a concise review setting, The service was surprisingly smooth and the staff were helpful. This is part of a controlled benchmark set.",0.41473087668418884,26,0.8346309821893027,0.8429916076479214,-0.008360625458618709,100.0,0,0.008360625458618709
GPT-2: Spanish,OOD,1,3,positive,"In a concise review setting, El servicio fue sorprendentemente fluido y el personal fue muy servicial. This is part of a controlled benchmark set.",0.38818228244781494,36,1.3615913791781782,1.374714471756226,-0.01312309257804789,100.0,0,0.01312309257804789
GPT-2: Spanish,ID,1,4,positive,"As a benchmark sentence, The service was surprisingly smooth and the staff were helpful. Preserve the original sentiment and intent.",0.4096742570400238,24,0.9423635729110047,0.9401632170632699,0.002200355847734814,100.0,0,0.002200355847734814
GPT-2: Spanish,OOD,1,4,positive,"As a benchmark sentence, El servicio fue sorprendentemente fluido y el personal fue muy servicial. Preserve the original sentiment and intent.",0.44874000549316406,34,1.3690444384529923,1.378196464393493,-0.009152025940500685,100.0,0,0.009152025940500685
GPT-2: Spanish,ID,2,0,positive,I absolutely loved this movie; the acting was brilliant and the story was moving.,0.4100898802280426,16,0.4537319313580619,0.45221744868797425,0.0015144826700876357,100.0,1,0.0015144826700876357
GPT-2: Spanish,OOD,2,0,positive,"La película fue excelente, con una actuación brillante y un desarrollo muy emotivo.",0.44396859407424927,28,1.518210594503678,1.5329208965983971,-0.014710302094719241,100.0,1,0.014710302094719241
GPT-2: Spanish,ID,2,1,positive,"For a short sentiment judgment, I absolutely loved this movie; the acting was brilliant and the story was moving. Keep the meaning unchanged.",0.8113377094268799,27,0.5884297655019478,0.5806940708821259,0.007735694619821931,100.0,1,0.007735694619821931
GPT-2: Spanish,OOD,2,1,positive,"For a short sentiment judgment, La película fue excelente, con una actuación brillante y un desarrollo muy emotivo. Keep the meaning unchanged.",0.5169452428817749,39,1.4498091967760713,1.4558166641811419,-0.006007467405070521,100.0,1,0.006007467405070521
GPT-2: Spanish,ID,2,2,positive,Consider the final user statement: I absolutely loved this movie; the acting was brilliant and the story was moving. Treat it as a single evaluation sample.,0.4505940079689026,30,0.5320084681421974,0.5230696513139904,0.008938816828206964,100.0,1,0.008938816828206964
GPT-2: Spanish,OOD,2,2,positive,"Consider the final user statement: La película fue excelente, con una actuación brillante y un desarrollo muy emotivo. Treat it as a single evaluation sample.",0.37991756200790405,42,1.4177738647184985,1.4220273411370203,-0.004253476418521807,100.0,1,0.004253476418521807
GPT-2: Spanish,ID,2,3,positive,"In a concise review setting, I absolutely loved this movie; the acting was brilliant and the story was moving. This is part of a controlled benchmark set.",0.5664545297622681,31,0.5962128395878596,0.5853618716922604,0.01085096789559925,100.0,1,0.01085096789559925
GPT-2: Spanish,OOD,2,3,positive,"In a concise review setting, La película fue excelente, con una actuación brillante y un desarrollo muy emotivo. This is part of a controlled benchmark set.",0.441692054271698,43,1.3951264019589507,1.3963733539395422,-0.0012469519805915485,100.0,1,0.0012469519805915485
GPT-2: Spanish,ID,2,4,positive,"As a benchmark sentence, I absolutely loved this movie; the acting was brilliant and the story was moving. Preserve the original sentiment and intent.",0.5533676147460938,29,0.5373959422837863,0.5359766180181226,0.0014193242656637128,100.0,1,0.0014193242656637128
GPT-2: Spanish,OOD,2,4,positive,"As a benchmark sentence, La película fue excelente, con una actuación brillante y un desarrollo muy emotivo. Preserve the original sentiment and intent.",0.466833233833313,41,1.4546069732395193,1.4611829249033623,-0.00657595166384306,100.0,1,0.00657595166384306
GPT-2: Spanish,ID,3,0,positive,"This product is excellent, reliable, and genuinely improved my day.",0.3314126431941986,13,1.1504041589543896,1.1745172742705805,-0.02411311531619087,100.0,1,0.02411311531619087
GPT-2: Spanish,OOD,3,0,positive,La experiencia general fue muy agradable y realmente mejoró mi día.,0.4742613434791565,22,1.3843295133855769,1.4189684086970091,-0.03463889531143227,100.0,1,0.03463889531143227
GPT-2: Spanish,ID,3,1,positive,"For a short sentiment judgment, This product is excellent, reliable, and genuinely improved my day. Keep the meaning unchanged.",0.49994805455207825,24,1.0642963596269608,1.085432323859639,-0.021135964232678273,100.0,1,0.021135964232678273
GPT-2: Spanish,OOD,3,1,positive,"For a short sentiment judgment, La experiencia general fue muy agradable y realmente mejoró mi día. Keep the meaning unchanged.",0.5243083238601685,33,1.3190331685352563,1.3459902492412217,-0.026957080705965364,100.0,1,0.026957080705965364
GPT-2: Spanish,ID,3,2,positive,"Consider the final user statement: This product is excellent, reliable, and genuinely improved my day. Treat it as a single evaluation sample.",0.25713932514190674,27,1.0004512913577777,1.0017499862801564,-0.0012986949223787736,100.0,1,0.0012986949223787736
GPT-2: Spanish,OOD,3,2,positive,Consider the final user statement: La experiencia general fue muy agradable y realmente mejoró mi día. Treat it as a single evaluation sample.,0.3550233542919159,36,1.3259798294583178,1.3396662429370467,-0.013686413478728898,100.0,1,0.013686413478728898
GPT-2: Spanish,ID,3,3,positive,"In a concise review setting, This product is excellent, reliable, and genuinely improved my day. This is part of a controlled benchmark set.",0.40320727229118347,28,0.9934676366242008,1.017549817331339,-0.0240821807071383,100.0,1,0.0240821807071383
GPT-2: Spanish,OOD,3,3,positive,"In a concise review setting, La experiencia general fue muy agradable y realmente mejoró mi día. This is part of a controlled benchmark set.",0.40735873579978943,37,1.2993997840030633,1.3121656057552407,-0.012765821752177331,100.0,1,0.012765821752177331
GPT-2: Spanish,ID,3,4,positive,"As a benchmark sentence, This product is excellent, reliable, and genuinely improved my day. Preserve the original sentiment and intent.",0.372082382440567,26,1.0168590208425088,1.0309237033868206,-0.014064682544311813,100.0,1,0.014064682544311813
GPT-2: Spanish,OOD,3,4,positive,"As a benchmark sentence, La experiencia general fue muy agradable y realmente mejoró mi día. Preserve the original sentiment and intent.",0.4011836647987366,35,1.3092412512224922,1.3165509348776245,-0.007309683655132293,100.0,1,0.007309683655132293
GPT-2: Spanish,ID,4,0,negative,"This was a terrible experience, and I hated every minute of it.",0.5790219306945801,14,1.204859761507737,1.1993553594301303,0.005504402077606718,100.0,2,0.005504402077606718
GPT-2: Spanish,OOD,4,0,negative,La experiencia fue terrible y me arrepiento profundamente de haberla vivido.,0.6817534565925598,22,1.3587913357048034,1.3713318037259061,-0.012540468021102757,100.0,2,0.012540468021102757
GPT-2: Spanish,ID,4,1,negative,"For a short sentiment judgment, This was a terrible experience, and I hated every minute of it. Keep the meaning unchanged.",0.6000968217849731,25,1.0192144690278264,1.0269735758751186,-0.0077591068472921965,100.0,2,0.0077591068472921965
GPT-2: Spanish,OOD,4,1,negative,"For a short sentiment judgment, La experiencia fue terrible y me arrepiento profundamente de haberla vivido. Keep the meaning unchanged.",0.6121682524681091,33,1.2691361351961588,1.2730997873003156,-0.003963652104156834,100.0,2,0.003963652104156834
GPT-2: Spanish,ID,4,2,negative,"Consider the final user statement: This was a terrible experience, and I hated every minute of it. Treat it as a single evaluation sample.",0.8257764577865601,28,0.9640060905879289,0.9819799369642026,-0.01797384637627375,100.0,2,0.01797384637627375
GPT-2: Spanish,OOD,4,2,negative,Consider the final user statement: La experiencia fue terrible y me arrepiento profundamente de haberla vivido. Treat it as a single evaluation sample.,0.8670822381973267,36,1.265665456399875,1.2899433893474137,-0.02427793294753866,100.0,2,0.02427793294753866
GPT-2: Spanish,ID,4,3,negative,"In a concise review setting, This was a terrible experience, and I hated every minute of it. This is part of a controlled benchmark set.",0.5586161017417908,29,0.9546644731941616,0.9622440950044139,-0.0075796218102522905,100.0,2,0.0075796218102522905
GPT-2: Spanish,OOD,4,3,negative,"In a concise review setting, La experiencia fue terrible y me arrepiento profundamente de haberla vivido. This is part of a controlled benchmark set.",0.7503798604011536,37,1.2338147945537734,1.2508452491742292,-0.017030454620455826,100.0,2,0.017030454620455826
GPT-2: Spanish,ID,4,4,negative,"As a benchmark sentence, This was a terrible experience, and I hated every minute of it. Preserve the original sentiment and intent.",0.560460090637207,27,1.0207115655482468,1.0145939131874882,0.006117652360758674,100.0,2,0.006117652360758674
GPT-2: Spanish,OOD,4,4,negative,"As a benchmark sentence, La experiencia fue terrible y me arrepiento profundamente de haberla vivido. Preserve the original sentiment and intent.",0.6502729058265686,35,1.2547442579549761,1.2662526379362695,-0.011508379981293393,100.0,2,0.011508379981293393
GPT-2: Spanish,ID,5,0,negative,I felt frustrated and disappointed by the entire process and quality.,0.752463698387146,12,1.0934160932968717,1.117275507543049,-0.023859414246177213,100.0,2,0.023859414246177213
GPT-2: Spanish,OOD,5,0,negative,Este producto me decepcionó mucho y el servicio fue completamente insuficiente.,1.1389654874801636,25,1.2955477732135534,1.3079595938805222,-0.012411820666968776,100.0,2,0.012411820666968776
GPT-2: Spanish,ID,5,1,negative,"For a short sentiment judgment, I felt frustrated and disappointed by the entire process and quality. Keep the meaning unchanged.",0.7632057666778564,23,1.0457016610844683,1.0843525008138073,-0.038650839729339026,100.0,2,0.038650839729339026
GPT-2: Spanish,OOD,5,1,negative,"For a short sentiment judgment, Este producto me decepcionó mucho y el servicio fue completamente insuficiente. Keep the meaning unchanged.",0.8978248834609985,36,1.2394636637058811,1.2549628779747026,-0.015499214268821504,100.0,2,0.015499214268821504
GPT-2: Spanish,ID,5,2,negative,Consider the final user statement: I felt frustrated and disappointed by the entire process and quality. Treat it as a single evaluation sample.,0.9289083480834961,26,1.0054860222051119,1.0420974893479324,-0.0366114671428206,100.0,2,0.0366114671428206
GPT-2: Spanish,OOD,5,2,negative,Consider the final user statement: Este producto me decepcionó mucho y el servicio fue completamente insuficiente. Treat it as a single evaluation sample.,1.2276753187179565,39,1.2454993014528084,1.2593562657680826,-0.013856964315274167,100.0,2,0.013856964315274167
GPT-2: Spanish,ID,5,3,negative,"In a concise review setting, I felt frustrated and disappointed by the entire process and quality. This is part of a controlled benchmark set.",0.6599053144454956,27,0.9906378220241194,1.0101336944754116,-0.01949587245129214,100.0,2,0.01949587245129214
GPT-2: Spanish,OOD,5,3,negative,"In a concise review setting, Este producto me decepcionó mucho y el servicio fue completamente insuficiente. This is part of a controlled benchmark set.",1.1102006435394287,40,1.215652126605546,1.2301663014389415,-0.014514174833395455,100.0,2,0.014514174833395455
GPT-2: Spanish,ID,5,4,negative,"As a benchmark sentence, I felt frustrated and disappointed by the entire process and quality. Preserve the original sentiment and intent.",0.7812826633453369,25,1.0358247353442451,1.072598029726203,-0.036773294381957866,100.0,2,0.036773294381957866
GPT-2: Spanish,OOD,5,4,negative,"As a benchmark sentence, Este producto me decepcionó mucho y el servicio fue completamente insuficiente. Preserve the original sentiment and intent.",1.0373785495758057,38,1.2500087532650976,1.2566566818164637,-0.006647928551366089,100.0,2,0.006647928551366089
GPT-2: Spanish,ID,6,0,negative,"Everything felt slow, confusing, and badly handled from beginning to end.",0.5493385791778564,14,1.2400328193321521,1.2491353396307612,-0.00910252029860903,100.0,3,0.00910252029860903
GPT-2: Spanish,OOD,6,0,negative,"Todo fue lento, complicado y mal gestionado desde el principio hasta el final.",1.2233960628509521,24,1.5072109658655055,1.5256703796799198,-0.018459413814414294,100.0,3,0.018459413814414294
GPT-2: Spanish,ID,6,1,negative,"For a short sentiment judgment, Everything felt slow, confusing, and badly handled from beginning to end. Keep the meaning unchanged.",0.7175700664520264,25,1.2278807278235597,1.231099925142027,-0.003219197318467204,100.0,3,0.003219197318467204
GPT-2: Spanish,OOD,6,1,negative,"For a short sentiment judgment, Todo fue lento, complicado y mal gestionado desde el principio hasta el final. Keep the meaning unchanged.",0.9952873587608337,35,1.32659431596096,1.3656640479478197,-0.03906973198685981,100.0,3,0.03906973198685981
GPT-2: Spanish,ID,6,2,negative,"Consider the final user statement: Everything felt slow, confusing, and badly handled from beginning to end. Treat it as a single evaluation sample.",0.8564271926879883,28,1.1818513806050563,1.213958277773872,-0.03210689716881565,100.0,3,0.03210689716881565
GPT-2: Spanish,OOD,6,2,negative,"Consider the final user statement: Todo fue lento, complicado y mal gestionado desde el principio hasta el final. Treat it as a single evaluation sample.",1.2171097993850708,38,1.3323311688230843,1.3403765449341836,-0.008045376111099234,100.0,3,0.008045376111099234
GPT-2: Spanish,ID,6,3,negative,"In a concise review setting, Everything felt slow, confusing, and badly handled from beginning to end. This is part of a controlled benchmark set.",0.6089887022972107,29,1.053159871201579,1.0912793375122325,-0.03811946631065344,100.0,3,0.03811946631065344
GPT-2: Spanish,OOD,6,3,negative,"In a concise review setting, Todo fue lento, complicado y mal gestionado desde el principio hasta el final. This is part of a controlled benchmark set.",1.1601386070251465,39,1.2606736794227877,1.2415321535756907,0.019141525847097052,100.0,3,0.019141525847097052
GPT-2: Spanish,ID,6,4,negative,"As a benchmark sentence, Everything felt slow, confusing, and badly handled from beginning to end. Preserve the original sentiment and intent.",0.7141533493995667,27,1.1315529258193646,1.1911983465254354,-0.05964542070607082,100.0,3,0.05964542070607082
GPT-2: Spanish,OOD,6,4,negative,"As a benchmark sentence, Todo fue lento, complicado y mal gestionado desde el principio hasta el final. Preserve the original sentiment and intent.",1.0572123527526855,37,1.3316089865043559,1.356556461456125,-0.024947474951769077,100.0,3,0.024947474951769077
GPT-2: Spanish,ID,7,0,negative,The service was awful and the final result left me deeply dissatisfied.,0.6149917244911194,13,1.339014531423169,1.3425493365268852,-0.0035348051037162875,100.0,3,0.0035348051037162875
GPT-2: Spanish,OOD,7,0,negative,El resultado final fue frustrante y profundamente insatisfactorio.,1.0586917400360107,18,1.3531057330975518,1.3555185269191865,-0.002412793821634729,100.0,3,0.002412793821634729
GPT-2: Spanish,ID,7,1,negative,"For a short sentiment judgment, The service was awful and the final result left me deeply dissatisfied. Keep the meaning unchanged.",0.5241185426712036,24,1.0448529777063367,1.0511814702211302,-0.0063284925147935045,100.0,3,0.0063284925147935045
GPT-2: Spanish,OOD,7,1,negative,"For a short sentiment judgment, El resultado final fue frustrante y profundamente insatisfactorio. Keep the meaning unchanged.",0.8559883236885071,29,1.1939377391956874,1.236370641947522,-0.042432902751834645,100.0,3,0.042432902751834645
GPT-2: Spanish,ID,7,2,negative,Consider the final user statement: The service was awful and the final result left me deeply dissatisfied. Treat it as a single evaluation sample.,0.7477573156356812,27,0.929079474140777,0.9430119654242127,-0.013932491283435766,100.0,3,0.013932491283435766
GPT-2: Spanish,OOD,7,2,negative,Consider the final user statement: El resultado final fue frustrante y profundamente insatisfactorio. Treat it as a single evaluation sample.,1.2977838516235352,32,1.2215937083315582,1.2319020939832885,-0.010308385651730312,100.0,3,0.010308385651730312
GPT-2: Spanish,ID,7,3,negative,"In a concise review setting, The service was awful and the final result left me deeply dissatisfied. This is part of a controlled benchmark set.",0.5685955882072449,28,0.9493385622908268,0.964424256906647,-0.015085694615820211,100.0,3,0.015085694615820211
GPT-2: Spanish,OOD,7,3,negative,"In a concise review setting, El resultado final fue frustrante y profundamente insatisfactorio. This is part of a controlled benchmark set.",1.1928163766860962,33,1.1491682143576647,1.1726248803798744,-0.02345666602220975,100.0,3,0.02345666602220975
GPT-2: Spanish,ID,7,4,negative,"As a benchmark sentence, The service was awful and the final result left me deeply dissatisfied. Preserve the original sentiment and intent.",0.5329287648200989,26,0.9846353062787598,0.9804100112240561,0.004225295054703704,100.0,3,0.004225295054703704
GPT-2: Spanish,OOD,7,4,negative,"As a benchmark sentence, El resultado final fue frustrante y profundamente insatisfactorio. Preserve the original sentiment and intent.",1.022031545639038,31,1.1722788460412599,1.1960983189813237,-0.023819472940063813,100.0,3,0.023819472940063813
